URL,Date,Type d'URL,Type d'acteurs,Thème,Position,Poids,Lu,Position/IVG,Notes
https://www.youtube.com/watch?v=ia6iGBlDuQg,12/10/2017,Youtube,Média,Désinformation,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,Enquete sur les numéros verts par France Inter
https://www.youtube.com/watch?v=wePNkmRgh58,16/02/2017,Youtube,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,Vidéo Youtube d'une jeune militante chrétienne
http://www.lci.fr/societe/delit-d-entrave-on-a-appele-ivg-net-pro-vie-on-ne-regrette-jamais-d-avoir-un-bebe-tu-m-entends-1500213.html,01/04/2016,Article,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,Enquete sur les numéros verts
http://tempsreel.nouvelobs.com/rue89/rue89-rue69/20161130.RUE5913/allo-ivg-net-je-veux-avorter-ou-comment-s-enerver-toute-seule.html,30/11/2016,Article,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://twitter.com/AnaisCondomines/status/803987487261683713,01/04/2016,Tweet,Média,Désinformation,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
http://www.lci.fr/societe/sites-anti-avortement-ivg-net-porte-plainte-contre-l-elue-lr-aurore-berge-2015472.html,02/12/2016,Article,Association,Juridique,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
https://radionotredame.net/emissions/point_de_vue_aupetit/16-12-2016/,16/12/2016,Radio,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Non,Contre,
https://twitter.com/EgaliteFemmes/status/804291148118429696,01/12/2016,Tweet,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
http://lesalonbeige.blogs.com/my_weblog/2016/12/la-fondatrice-divgnet-sexplique-sur-son-action.html,01/12/2016,Article,Association,Désinformation,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://www.lerougeetlenoir.org/opinions/les-inquisitoriales/Entretien-avec-la-fondatrice-d-ivg-net-Il-y-a-un-discours-officiel-qui-n-aime-pas-la-contradiction,11/02/2016,Article,Association,Désinformation,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://twitter.com/krunch_fr/status/804313181036363776,01/12/2016,Tweet,Association,Désinformation,Contre l'extension du délit d'entrave,Faible,Oui,Contre,
https://twitter.com/LagoshNick/status/808274272393265152,12/12/2016,Tweet,Particulier,Liberté d'expression,Contre l'extension du délit d'entrave,Faible,Oui,NA,
http://www.ouest-france.fr/debats/editorial/ivg-delit-d-entrave-et-liberte-d-expression-4672903,11/12/2016,Article,Média,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Non,Pour,
http://lesalonbeige.blogs.com/my_weblog/2016/12/je-vous-pr%C3%A9sente-mon-d%C3%A9lit-dentrave-%C3%A0-livg.html,09/12/2016,Blog,Particulier,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
http://cahierslibres.fr/2015/01/aujourdhui-jai-appele-le-planning-familial/,23/01/2015,Blog,Particulier,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
http://www.ndf.fr/nos-breves/24-01-2015/aujourdhui-jai-appele-le-planning-familial/,24/01/2015,Blog,Particulier,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://twitter.com/JcPhilipot/status/806756717736251392,07/12/2016,Tweet,Instance politique,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
